r,reward_mode,cost_setting,n,episode_violation_rate_mean,episode_violation_rate_sd,episode_violation_rate_ci_low,episode_violation_rate_ci_high,intervention_freq_mean,intervention_freq_sd,intervention_freq_ci_low,intervention_freq_ci_high,intervention_mag_mean,intervention_mag_sd,intervention_mag_ci_low,intervention_mag_ci_high,control_effort_mean,control_effort_sd,control_effort_ci_low,control_effort_ci_high,elapsed_s_mean,elapsed_s_sd,elapsed_s_ci_low,elapsed_s_ci_high
2,actuator_saturation,regularized rw=0.25,20.0,0.3,0.4701623459816272,0.1,0.5,0.7826667764079034,0.19233316503273964,0.6901932238442822,0.8532847748795825,0.5678750709401531,0.18722566210544392,0.4833649593244171,0.6428812677530285,97.8861866036937,58.295455029352524,77.21652005271592,127.13257698480764,5.350852644443512,1.7061751398240368,4.608674318492413,6.043884764313697
2,actuator_saturation,regularized rw=1,20.0,0.3,0.4701623459816272,0.1,0.5,0.7906069693340263,0.18243794621137735,0.7015539318885448,0.8563535883558188,0.5774108860396667,0.18731094167542514,0.49026592433017835,0.6535875706062948,98.27008649802109,62.55041434837663,75.95104593558682,127.05287806010794,5.333836507797241,1.7321319161743476,4.580781963765621,6.084516220390796
2,actuator_saturation,regularized rw=4,20.0,0.3,0.4701623459816272,0.1,0.5,0.7980991681521094,0.18725898357638404,0.7100542780748663,0.8654106818181817,0.5765054465622695,0.1826495468817335,0.4945462944022998,0.6494552942369594,97.85433796709272,59.053947415810725,77.0049587050822,126.47646124125865,5.291765308380127,1.7390865137444032,4.53249939084053,6.010386535823345
2,chattering,blended alpha=0.25,20.0,0.35,0.48936048492959283,0.15,0.55,0.8063264906028449,0.1053846914255661,0.7621556414735865,0.850674059493751,0.627437410202141,0.199630016155464,0.5380947278752397,0.7047011352101487,111.60296501850492,94.21443036674299,83.01689277104532,155.85122937154756,5.441175484657288,1.8585887976332731,4.637299961149693,6.180514512658119
2,chattering,blended alpha=0.5,20.0,0.35,0.48936048492959283,0.15,0.55,0.8120397376885016,0.09254458143679258,0.7730479216482161,0.8497065814329819,0.6389727654344836,0.197678016228331,0.5462941462678734,0.7113251363796561,112.35387569342598,93.75637278136894,83.79759030154894,158.72935447973097,5.438980209827423,1.8669344277342796,4.650632492005825,6.2127385601401315
2,chattering,blended alpha=0.75,20.0,0.35,0.48936048492959283,0.15,0.55,0.8052647166531688,0.09256536455862738,0.7669382698520798,0.8437892110769083,0.6343260430184259,0.19855093434971588,0.5431532361917549,0.7144474899458516,112.9391245784667,95.79076599224106,83.80374378346438,160.85304084165531,5.428761339187622,1.8717380483004507,4.612621324956417,6.176055146157741
2,chattering,regularized rw=0.25,20.0,0.4,0.5026246899500346,0.2,0.6,0.7915865777764596,0.1753728283509372,0.7034814543993712,0.8568898592214856,0.5896036396842733,0.21138489323398635,0.49064884575455026,0.6752116185319347,111.30498833956673,96.1578569413005,82.26466904664814,156.61771720742274,5.016135728359222,1.7826157886065512,4.24547188013792,5.7585057279467575
2,chattering,regularized rw=1,20.0,0.4,0.5026246899500346,0.2,0.6,0.7877400229961778,0.17307886675257733,0.711088183395811,0.8538369877805195,0.5882108789798204,0.20803967895475214,0.48995630224530295,0.6738944161977581,108.21672651960853,84.40285811264862,81.75363525379232,148.9769769116318,5.047836601734161,1.8014234724083227,4.253809173107147,5.766890273094177
2,chattering,regularized rw=4,20.0,0.4,0.5026246899500346,0.2,0.6,0.795610789826318,0.16300995091410045,0.7173419445361988,0.8584358487690597,0.5940830117519342,0.20271169046429682,0.5006116073136289,0.6732181567392821,109.41445909826862,85.14227775719462,82.70053712415272,150.6235555548218,5.064101254940033,1.7866507455662137,4.298909491300583,5.799683341681957
2,constraint_seeking,blended alpha=0.25,20.0,0.4,0.5026246899500346,0.2,0.6,0.8531202121419639,0.10313912489662587,0.8121213564926237,0.8972728248154213,0.6409766853519699,0.10570475221316107,0.595784802335465,0.6874508791397169,92.77676856668657,31.79646151372242,80.50065800398745,105.8028284961624,5.272602128982544,2.0065947150202104,4.464589824080467,6.069798194468021
2,constraint_seeking,blended alpha=0.5,20.0,0.4,0.5026246899500346,0.2,0.6,0.8530769617679634,0.10551373084187338,0.8083861880917226,0.8991415423169805,0.6384460143541651,0.104404248055396,0.5961433644314951,0.6837300234460929,92.70938618255698,31.43807826734935,79.58984499588091,106.51528281927159,5.229221308231354,2.0132835840468597,4.397080199122429,6.1069227126240735
2,constraint_seeking,blended alpha=0.75,20.0,0.4,0.5026246899500346,0.2,0.6,0.8434779901949812,0.10699145259576552,0.8002424721109147,0.8899095976509741,0.627528659921383,0.10804746756263114,0.5821193063810007,0.6742909222913249,93.08036581563772,31.50436572999917,79.99455621788996,106.04261984873169,5.229524791240692,2.0088285420730836,4.3691356626152995,6.023353909552097
